VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone,trip_id
1,2024-01-01 00:10:21.000000,2024-01-01 00:22:07.000000,2.0,2.3,1.0,N,148,233,1,14.2,3.5,0.5,1.0,0.0,1.0,20.2,2.5,0.0,Manhattan,Lower East Side,Yellow Zone,Manhattan,UN/Turtle Bay South,Yellow Zone,311
1,2024-01-01 00:25:31.000000,2024-01-01 00:27:46.000000,1.0,0.7,1.0,N,229,141,1,5.1,3.5,0.5,2.0,0.0,1.0,12.1,2.5,0.0,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone,312
1,2024-01-01 00:58:17.000000,2024-01-01 01:21:27.000000,1.0,3.3,1.0,N,164,142,1,21.9,3.5,0.5,4.03,0.0,1.0,30.93,2.5,0.0,Manhattan,Midtown South,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone,313
2,2024-01-01 00:13:56.000000,2024-01-01 00:18:37.000000,1.0,0.94,1.0,N,238,166,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Morningside Heights,Boro Zone,314
2,2024-01-01 00:35:07.000000,2024-01-01 00:48:48.000000,2.0,3.55,1.0,N,162,75,1,17.7,1.0,0.5,0.02,0.0,1.0,22.72,2.5,0.0,Manhattan,Midtown East,Yellow Zone,Manhattan,East Harlem South,Boro Zone,315
2,2024-01-01 00:02:55.000000,2024-01-01 00:10:11.000000,1.0,0.72,1.0,N,249,249,1,7.9,1.0,0.5,2.58,0.0,1.0,15.48,2.5,0.0,Manhattan,West Village,Yellow Zone,Manhattan,West Village,Yellow Zone,316
2,2024-01-01 00:43:52.000000,2024-01-01 01:33:57.000000,1.0,3.16,1.0,N,113,50,1,40.1,1.0,0.5,2.0,0.0,1.0,47.1,2.5,0.0,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Clinton West,Yellow Zone,317
2,2024-01-01 00:27:25.000000,2024-01-01 00:35:24.000000,1.0,1.47,1.0,N,142,140,1,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Lenox Hill East,Yellow Zone,318
1,2024-01-01 00:34:14.000000,2024-01-01 01:01:32.000000,2.0,3.4,1.0,N,163,158,2,25.4,3.5,0.5,0.0,0.0,1.0,30.4,2.5,0.0,Manhattan,Midtown North,Yellow Zone,Manhattan,Meatpacking/West Village West,Yellow Zone,319
2,2024-01-01 00:31:24.000000,2024-01-01 01:02:27.000000,2.0,4.39,1.0,N,142,113,1,28.9,1.0,0.5,6.78,0.0,1.0,40.68,2.5,0.0,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Greenwich Village North,Yellow Zone,320
1,2024-01-01 00:06:03.000000,2024-01-01 00:17:55.000000,1.0,0.5,1.0,N,246,246,1,10.0,3.5,0.5,4.5,0.0,1.0,19.5,2.5,0.0,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,321
1,2024-01-01 00:20:21.000000,2024-01-01 00:25:42.000000,1.0,0.6,1.0,N,246,246,1,6.5,3.5,0.5,10.0,0.0,1.0,21.5,2.5,0.0,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,322
1,2024-01-01 00:40:09.000000,2024-01-01 00:48:57.000000,1.0,0.9,1.0,N,68,114,1,8.6,3.5,0.5,2.7,0.0,1.0,16.3,2.5,0.0,Manhattan,East Chelsea,Yellow Zone,Manhattan,Greenwich Village South,Yellow Zone,323
1,2024-01-01 00:49:59.000000,2024-01-01 01:33:58.000000,1.0,3.6,1.0,N,114,50,1,33.8,3.5,0.5,9.7,0.0,1.0,48.5,2.5,0.0,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,Clinton West,Yellow Zone,324
1,2024-01-01 00:42:26.000000,2024-01-01 01:12:01.000000,0.0,16.6,2.0,N,132,233,1,70.0,4.25,0.5,16.53,6.94,1.0,99.22,2.5,1.75,Queens,JFK Airport,Airports,Manhattan,UN/Turtle Bay South,Yellow Zone,325
2,2024-01-01 00:37:22.000000,2024-01-01 00:48:08.000000,3.0,1.45,1.0,N,107,68,2,11.4,1.0,0.5,0.0,0.0,1.0,16.4,2.5,0.0,Manhattan,Gramercy,Yellow Zone,Manhattan,East Chelsea,Yellow Zone,326
